Áurea Carolina	PSOL	MG		dep.aureacarolina@camara.leg.br
Aureo Ribeiro	SOLIDARIEDADE	RJ		dep.aureoribeiro@camara.leg.br
Bacelar	PODE	BA		dep.bacelar@camara.leg.br
Baleia Rossi	MDB	SP		dep.baleiarossi@camara.leg.br
Benedita da Silva	PT	RJ		dep.beneditadasilva@camara.leg.br
Benes Leocádio	REPUBLICANOS	RN		dep.benesleocadio@camara.leg.br
Beto Faro	PT	PA		dep.betofaro@camara.leg.br
Beto Pereira	PSDB	MS		dep.betopereira@camara.leg.br
Beto Rosado	PP	RN		dep.betorosado@camara.leg.br
Bia Cavassa	PSDB	MS		dep.biacavassa@camara.leg.br
Bia Kicis	PSL	DF		dep.biakicis@camara.leg.br
Bibo Nunes	PSL	RS		dep.bibonunes@camara.leg.br
Bilac Pinto	DEM	MG		dep.bilacpinto@camara.leg.br
Bira do Pindaré	PSB	MA		dep.biradopindare@camara.leg.br
Boca Aberta	PROS	PR		dep.bocaaberta@camara.leg.br
Bohn Gass	PT	RS		dep.bohngass@camara.leg.br
Bosco Costa	PL	SE		dep.boscocosta@camara.leg.br
Bosco Saraiva	SOLIDARIEDADE	AM		dep.boscosaraiva@camara.leg.br
Bozzella	PSL	SP		dep.bozzella@camara.leg.br
Bruna Furlan	PSDB	SP		dep.brunafurlan@camara.leg.br
Cacá Leão	PP	BA		dep.cacaleao@camara.leg.br
Camilo Capiberibe	PSB	AP		dep.camilocapiberibe@camara.leg.br
Capitão Alberto Neto	REPUBLICANOS	AM		dep.capitaoalbertoneto@camara.leg.br
Capitão Augusto	PL	SP		dep.capitaoaugusto@camara.leg.br
Capitão Fábio Abreu	PL	PI		dep.capitaofabioabreu@camara.leg.br
Capitão Wagner	PROS	CE		dep.capitaowagner@camara.leg.br
Carla Dickson	PROS	RN		dep.carladickson@camara.leg.br
Carla Zambelli	PSL	SP		dep.carlazambelli@camara.leg.br
Carlos Bezerra	MDB	MT		dep.carlosbezerra@camara.leg.br
Carlos Chiodini	MDB	SC		dep.carloschiodini@camara.leg.br
Carlos Gomes	REPUBLICANOS	RS		dep.carlosgomes@camara.leg.br
Carlos Henrique Gaguim	DEM	TO		dep.carloshenriquegaguim@camara.leg.br
Carlos Jordy	PSL	RJ		dep.carlosjordy@camara.leg.br
Carlos Sampaio	PSDB	SP		dep.carlossampaio@camara.leg.br
Carlos Veras	PT	PE		dep.carlosveras@camara.leg.br
Carlos Zarattini	PT	SP		dep.carloszarattini@camara.leg.br
Carmen Zanotto	CIDADANIA	SC		dep.carmenzanotto@camara.leg.br
Caroline de Toni	PSL	SC		dep.carolinedetoni@camara.leg.br
Cássio Andrade	PSB	PA		dep.cassioandrade@camara.leg.br
Celina Leão	PP	DF		dep.celinaleao@camara.leg.br
Célio Moura	PT	TO		dep.celiomoura@camara.leg.br
Célio Silveira	PSDB	GO		dep.celiosilveira@camara.leg.br
Célio Studart	PV	CE		dep.celiostudart@camara.leg.br
Celso Maldaner	MDB	SC		dep.celsomaldaner@camara.leg.br
Celso Russomanno	REPUBLICANOS	SP		dep.celsorussomanno@camara.leg.br
Celso Sabino	PSDB	PA		dep.celsosabino@camara.leg.br
Cezinha de Madureira	PSD	SP		dep.cezinhademadureira@camara.leg.br
Charles Fernandes	PSD	BA		dep.charlesfernandes@camara.leg.br
Charlles Evangelista	PSL	MG		dep.charllesevangelista@camara.leg.br
Chico D'Angelo	PDT	RJ		dep.chicodangelo@camara.leg.br
Chiquinho Brazão	AVANTE	RJ		dep.chiquinhobrazao@camara.leg.br
Chris Tonietto	PSL	RJ		dep.christonietto@camara.leg.br
Christiane de Souza Yared	PL	PR		dep.christianedesouzayared@camara.leg.br
Christino Aureo	PP	RJ		dep.christinoaureo@camara.leg.br
Clarissa Garotinho	PROS	RJ		dep.clarissagarotinho@camara.leg.br
Claudio Cajado	PP	BA		dep.claudiocajado@camara.leg.br
Cleber Verde	REPUBLICANOS	MA		dep.cleberverde@camara.leg.br
Coronel Armando	PSL	SC		dep.coronelarmando@camara.leg.br
Coronel Chrisóstomo	PSL	RO		dep.coronelchrisostomo@camara.leg.br
Coronel Tadeu	PSL	SP		dep.coroneltadeu@camara.leg.br
Cristiano Vale	PL	PA		dep.cristianovale@camara.leg.br
Da Vitoria	CIDADANIA	ES		dep.davitoria@camara.leg.br
Dagoberto Nogueira	PDT	MS		dep.dagobertonogueira@camara.leg.br
Damião Feliciano	PDT	PB		dep.damiaofeliciano@camara.leg.br
Daniel Almeida	PCdoB	BA		dep.danielalmeida@camara.leg.br
Daniel Coelho	CIDADANIA	PE		dep.danielcoelho@camara.leg.br
Daniel Freitas	PSL	SC		dep.danielfreitas@camara.leg.br
Daniel Silveira	PSL	RJ		dep.danielsilveira@camara.leg.br
Daniel Trzeciak	PSDB	RS		dep.danieltrzeciak@camara.leg.br
Daniela do Waguinho	MDB	RJ		dep.danieladowaguinho@camara.leg.br
Danilo Cabral	PSB	PE		dep.danilocabral@camara.leg.br
Danilo Forte	PSDB	CE		dep.daniloforte@camara.leg.br
Danrlei de Deus Hinterholz	PSD	RS		dep.danrleidedeushinterholz@camara.leg.br
Darci de Matos	PSD	SC		dep.darcidematos@camara.leg.br
David Miranda	PSOL	RJ		dep.davidmiranda@camara.leg.br
David Soares	DEM	SP		dep.davidsoares@camara.leg.br
Delegado Antônio Furtado	PSL	RJ		dep.delegadoantoniofurtado@camara.leg.br
Delegado Éder Mauro	PSD	PA		dep.delegadoedermauro@camara.leg.br
Delegado Marcelo Freitas	PSL	MG		dep.delegadomarcelofreitas@camara.leg.br
Delegado Pablo	PSL	AM		dep.delegadopablo@camara.leg.br
Delegado Waldir	PSL	GO		dep.delegadowaldir@camara.leg.br
Denis Bezerra	PSB	CE		dep.denisbezerra@camara.leg.br
Diego Andrade	PSD	MG		dep.diegoandrade@camara.leg.br
Diego Garcia	PODE	PR		dep.diegogarcia@camara.leg.br
Dimas Fabiano	PP	MG		dep.dimasfabiano@camara.leg.br
Domingos Neto	PSD	CE		dep.domingosneto@camara.leg.br
Domingos Sávio	PSDB	MG		dep.domingossavio@camara.leg.br
Dr. Frederico	PATRIOTA	MG		dep.dr.frederico@camara.leg.br
Dr. Gonçalo	REPUBLICANOS	MA		dep.dr.goncalo@camara.leg.br
Dr. Jaziel	PL	CE		dep.dr.jaziel@camara.leg.br
Dr. Leonardo	SOLIDARIEDADE	MT		dep.dr.leonardo@camara.leg.br
Dr. Luiz Antonio Teixeira Jr.	PP	RJ		dep.dr.luizantonioteixeirajr@camara.leg.br
Dr. Luiz Ovando	PSL	MS		dep.dr.luizovando@camara.leg.br
Dr. Zacharias Calil	DEM	GO		dep.dr.zachariascalil@camara.leg.br
Dra. Soraya Manato	PSL	ES		dep.dra.sorayamanato@camara.leg.br
Dra. Vanda Milani	SOLIDARIEDADE	AC		dep.dra.vandamilani@camara.leg.br
Dulce Miranda	MDB	TO		dep.dulcemiranda@camara.leg.br
Edilázio Júnior	PSD	MA		dep.edilaziojunior@camara.leg.br
Edio Lopes	PL	RR		dep.ediolopes@camara.leg.br
Edna Henrique	PSDB	PB		dep.ednahenrique@camara.leg.br
Eduardo Barbosa	PSDB	MG		dep.eduardobarbosa@camara.leg.br
Eduardo Bismarck	PDT	CE		dep.eduardobismarck@camara.leg.br
Eduardo Bolsonaro	PSL	SP		dep.eduardobolsonaro@camara.leg.br
Eduardo Costa	PTB	PA		dep.eduardocosta@camara.leg.br
Eduardo Cury	PSDB	SP		dep.eduardocury@camara.leg.br
Eduardo da Fonte	PP	PE		dep.eduardodafonte@camara.leg.br
Efraim Filho	DEM	PB		dep.efraimfilho@camara.leg.br
Elcione Barbalho	MDB	PA		dep.elcionebarbalho@camara.leg.br
Eli Borges	SOLIDARIEDADE	TO		dep.eliborges@camara.leg.br
Eli Corrêa Filho	DEM	SP		dep.elicorreafilho@camara.leg.br
Elias Vaz	PSB	GO		dep.eliasvaz@camara.leg.br
Elmar Nascimento	DEM	BA		dep.elmarnascimento@camara.leg.br
Emanuel Pinheiro Neto	PTB	MT		dep.emanuelpinheironeto@camara.leg.br
Emidinho Madeira	PSB	MG		dep.emidinhomadeira@camara.leg.br
Enio Verri	PT	PR		dep.enioverri@camara.leg.br
Enrico Misasi	PV	SP		dep.enricomisasi@camara.leg.br
Erika Kokay	PT	DF		dep.erikakokay@camara.leg.br
Eros Biondini	PROS	MG		dep.erosbiondini@camara.leg.br
Euclydes Pettersen	PSC	MG		dep.euclydespettersen@camara.leg.br
Evair Vieira de Melo	PP	ES		dep.evairvieirademelo@camara.leg.br
Expedito Netto	PSD	RO		dep.expeditonetto@camara.leg.br
Fábio Henrique	PDT	SE		dep.fabiohenrique@camara.leg.br
Fábio Mitidieri	PSD	SE		dep.fabiomitidieri@camara.leg.br
Fábio Ramalho	MDB	MG		dep.fabioramalho@camara.leg.br
Fabio Reis	MDB	SE		dep.fabioreis@camara.leg.br
Fabio Schiochet	PSL	SC		dep.fabioschiochet@camara.leg.br
Fábio Trad	PSD	MS		dep.fabiotrad@camara.leg.br
Fausto Pinato	PP	SP		dep.faustopinato@camara.leg.br
Felício Laterça	PSL	RJ		dep.feliciolaterca@camara.leg.br
Felipe Carreras	PSB	PE		dep.felipecarreras@camara.leg.br
Felipe Francischini	PSL	PR		dep.felipefrancischini@camara.leg.br
Felipe Rigoni	PSB	ES		dep.feliperigoni@camara.leg.br
Félix Mendonça Júnior	PDT	BA		dep.felixmendoncajunior@camara.leg.br
Fernanda Melchionna	PSOL	RS		dep.fernandamelchionna@camara.leg.br
Fernando Coelho Filho	DEM	PE		dep.fernandocoelhofilho@camara.leg.br
Fernando Monteiro	PP	PE		dep.fernandomonteiro@camara.leg.br
Fernando Rodolfo	PL	PE		dep.fernandorodolfo@camara.leg.br
Filipe Barros	PSL	PR		dep.filipebarros@camara.leg.br
Flávia Arruda	PL	DF		dep.flaviaarruda@camara.leg.br
Flávia Morais	PDT	GO		dep.flaviamorais@camara.leg.br
Flaviano Melo	MDB	AC		dep.flavianomelo@camara.leg.br
Flávio Nogueira	PDT	PI		dep.flavionogueira@camara.leg.br
Flordelis	PSD	RJ		dep.flordelis@camara.leg.br
Francisco Jr.	PSD	GO		dep.franciscojr@camara.leg.br
Franco Cartafina	PP	MG		dep.francocartafina@camara.leg.br
Fred Costa	PATRIOTA	MG		dep.fredcosta@camara.leg.br
Frei Anastacio Ribeiro	PT	PB		dep.freianastacioribeiro@camara.leg.br
Gastão Vieira	PROS	MA		dep.gastaovieira@camara.leg.br
Gelson Azevedo	PL	RJ		dep.gelsonazevedo@camara.leg.br
Genecias Noronha	SOLIDARIEDADE	CE		dep.geneciasnoronha@camara.leg.br
General Girão	PSL	RN		dep.generalgirao@camara.leg.br
General Peternelli	PSL	SP		dep.generalpeternelli@camara.leg.br
Geninho Zuliani	DEM	SP		dep.geninhozuliani@camara.leg.br
Geovania de Sá	PSDB	SC		dep.geovaniadesa@camara.leg.br
Gervásio Maia	PSB	PB		dep.gervasiomaia@camara.leg.br
Giacobo	PL	PR		dep.giacobo@camara.leg.br
Gil Cutrim	PDT	MA		dep.gilcutrim@camara.leg.br
Gilberto Abramo	REPUBLICANOS	MG		dep.gilbertoabramo@camara.leg.br
Gilberto Nascimento	PSC	SP		dep.gilbertonascimento@camara.leg.br
Gilson Marques	NOVO	SC		dep.gilsonmarques@camara.leg.br
Giovani Cherini	PL	RS		dep.giovanicherini@camara.leg.br
Giovani Feltes	MDB	RS		dep.giovanifeltes@camara.leg.br
Glauber Braga	PSOL	RJ		dep.glauberbraga@camara.leg.br
Glaustin da Fokus	PSC	GO		dep.glaustindafokus@camara.leg.br
Gleisi Hoffmann	PT	PR		dep.gleisihoffmann@camara.leg.br
Gonzaga Patriota	PSB	PE		dep.gonzagapatriota@camara.leg.br
GORETE PEREIRA	PL	CE		dep.goretepereira@camara.leg.br
Greyce Elias	AVANTE	MG		dep.greyceelias@camara.leg.br
Guiga Peixoto	PSL	SP		dep.guigapeixoto@camara.leg.br
Guilherme Derrite	PP	SP		dep.guilhermederrite@camara.leg.br
Guilherme Mussi	PP	SP		dep.guilhermemussi@camara.leg.br
Gurgel	PSL	RJ		dep.gurgel@camara.leg.br
Gustavo Fruet	PDT	PR		dep.gustavofruet@camara.leg.br
Gustinho Ribeiro	SOLIDARIEDADE	SE		dep.gustinhoribeiro@camara.leg.br
Gutemberg Reis	MDB	RJ		dep.gutembergreis@camara.leg.br
Haroldo Cathedral	PSD	RR		dep.haroldocathedral@camara.leg.br
Heitor Freire	PSL	CE		dep.heitorfreire@camara.leg.br
Heitor Schuch	PSB	RS		dep.heitorschuch@camara.leg.br
Helder Salomão	PT	ES		dep.heldersalomao@camara.leg.br
Hélio Costa	REPUBLICANOS	SC		dep.heliocosta@camara.leg.br
Hélio Leite	DEM	PA		dep.helioleite@camara.leg.br
Helio Lopes	PSL	RJ		dep.heliolopes@camara.leg.br
Henrique Fontana	PT	RS		dep.henriquefontana@camara.leg.br
Hercílio Coelho Diniz	MDB	MG		dep.herciliocoelhodiniz@camara.leg.br
Herculano Passos	MDB	SP		dep.herculanopassos@camara.leg.br
Hermes Parcianello	MDB	PR		dep.hermesparcianello@camara.leg.br
Hildo Rocha	MDB	MA		dep.hildorocha@camara.leg.br
Hiran Gonçalves	PP	RR		dep.hirangoncalves@camara.leg.br
Hugo Leal	PSD	RJ		dep.hugoleal@camara.leg.br
Hugo Motta	REPUBLICANOS	PB		dep.hugomotta@camara.leg.br
Idilvan Alencar	PDT	CE		dep.idilvanalencar@camara.leg.br
Igor Kannário	DEM	BA		dep.igorkannario@camara.leg.br
Igor Timo	PODE	MG		dep.igortimo@camara.leg.br
Iracema Portella	PP	PI		dep.iracemaportella@camara.leg.br
Isnaldo Bulhões Jr.	MDB	AL		dep.isnaldobulhoesjr@camara.leg.br
Ivan Valente	PSOL	SP		dep.ivanvalente@camara.leg.br
Jandira Feghali	PCdoB	RJ		dep.jandirafeghali@camara.leg.br
Jaqueline Cassol	PP	RO		dep.jaquelinecassol@camara.leg.br
Jefferson Campos	PSB	SP		dep.jeffersoncampos@camara.leg.br
Jerônimo Goergen	PP	RS		dep.jeronimogoergen@camara.leg.br
Jéssica Sales	MDB	AC		dep.jessicasales@camara.leg.br
Jesus Sérgio	PDT	AC		dep.jesussergio@camara.leg.br
Jhonatan de Jesus	REPUBLICANOS	RR		dep.jhonatandejesus@camara.leg.br
João Campos	REPUBLICANOS	GO		dep.joaocampos@camara.leg.br
João Carlos Bacelar	PL	BA		dep.joaocarlosbacelar@camara.leg.br
João Daniel	PT	SE		dep.joaodaniel@camara.leg.br
João Maia	PL	RN		dep.joaomaia@camara.leg.br
João Marcelo Souza	MDB	MA		dep.joaomarcelosouza@camara.leg.br
João Roma	REPUBLICANOS	BA		dep.joaoroma@camara.leg.br
Joaquim Passarinho	PSD	PA		dep.joaquimpassarinho@camara.leg.br
Joenia Wapichana	REDE	RR		dep.joeniawapichana@camara.leg.br
Joice Hasselmann	PSL	SP		dep.joicehasselmann@camara.leg.br
Jorge Braz	REPUBLICANOS	RJ		dep.jorgebraz@camara.leg.br
Jorge Goetten	PL	SC		dep.jorgegoetten@camara.leg.br
Jorge Solla	PT	BA		dep.jorgesolla@camara.leg.br
José Airton Félix Cirilo	PT	CE		dep.joseairtonfelixcirilo@camara.leg.br
José Guimarães	PT	CE		dep.joseguimaraes@camara.leg.br
Jose Mario Schreiner	DEM	GO		dep.josemarioschreiner@camara.leg.br
José Medeiros	PODE	MT		dep.josemedeiros@camara.leg.br
José Nelto	PODE	GO		dep.josenelto@camara.leg.br
José Nunes	PSD	BA		dep.josenunes@camara.leg.br
José Priante	MDB	PA		dep.josepriante@camara.leg.br
José Ricardo	PT	AM		dep.josericardo@camara.leg.br
José Rocha	PL	BA		dep.joserocha@camara.leg.br
Joseildo Ramos	PT	BA		dep.joseildoramos@camara.leg.br
Josimar Maranhãozinho	PL	MA		dep.josimarmaranhaozinho@camara.leg.br
Josivaldo JP	PODE	MA		dep.josivaldojp@camara.leg.br
Juarez Costa	MDB	MT		dep.juarezcosta@camara.leg.br
Julian Lemos	PSL	PB		dep.julianlemos@camara.leg.br
Júlio Cesar	PSD	PI		dep.juliocesar@camara.leg.br
Julio Cesar Ribeiro	REPUBLICANOS	DF		dep.juliocesarribeiro@camara.leg.br
Júlio Delgado	PSB	MG		dep.juliodelgado@camara.leg.br
Juninho do Pneu	DEM	RJ		dep.juninhodopneu@camara.leg.br
Junio Amaral	PSL	MG		dep.junioamaral@camara.leg.br
Júnior Ferrari	PSD	PA		dep.juniorferrari@camara.leg.br
Junior Lourenço	PL	MA		dep.juniorlourenco@camara.leg.br
Júnior Mano	PL	CE		dep.juniormano@camara.leg.br
Juscelino Filho	DEM	MA		dep.juscelinofilho@camara.leg.br
Kim Kataguiri	DEM	SP		dep.kimkataguiri@camara.leg.br
Laercio Oliveira	PP	SE		dep.laerciooliveira@camara.leg.br
Lafayette de Andrada	REPUBLICANOS	MG		dep.lafayettedeandrada@camara.leg.br
Lauriete	PSC	ES		dep.lauriete@camara.leg.br
Leandre	PV	PR		dep.leandre@camara.leg.br
Leda Sadala	AVANTE	AP		dep.ledasadala@camara.leg.br
LEO DE BRITO	PT	AC		dep.leodebrito@camara.leg.br
Léo Moraes	PODE	RO		dep.leomoraes@camara.leg.br
Léo Motta	PSL	MG		dep.leomotta@camara.leg.br
Leonardo Monteiro	PT	MG		dep.leonardomonteiro@camara.leg.br
Leônidas Cristino	PDT	CE		dep.leonidascristino@camara.leg.br
Leur Lomanto Júnior	DEM	BA		dep.leurlomantojunior@camara.leg.br
Lídice da Mata	PSB	BA		dep.lidicedamata@camara.leg.br
Lincoln Portela	PL	MG		dep.lincolnportela@camara.leg.br
Liziane Bayer	PSB	RS		dep.lizianebayer@camara.leg.br
Loester Trutis	PSL	MS		dep.loestertrutis@camara.leg.br
Lourival Gomes	PSL	RJ		dep.lourivalgomes@camara.leg.br
Lucas Gonzalez	NOVO	MG		dep.lucasgonzalez@camara.leg.br
Lucas Redecker	PSDB	RS		dep.lucasredecker@camara.leg.br
Lucas Vergilio	SOLIDARIEDADE	GO		dep.lucasvergilio@camara.leg.br
Luciano Bivar	PSL	PE		dep.lucianobivar@camara.leg.br
Luciano Ducci	PSB	PR		dep.lucianoducci@camara.leg.br
Lucio Mosquini	MDB	RO		dep.luciomosquini@camara.leg.br
Luis Miranda	DEM	DF		dep.luismiranda@camara.leg.br
Luis Tibé	AVANTE	MG		dep.luistibe@camara.leg.br
Luisa Canziani	PTB	PR		dep.luisacanziani@camara.leg.br
Luiz Antônio Corrêa	PL	RJ		dep.luizantoniocorrea@camara.leg.br
Luiz Carlos	PSDB	AP		dep.luizcarlos@camara.leg.br
Luiz Carlos Motta	PL	SP		dep.luizcarlosmotta@camara.leg.br
Luiz Lima	PSL	RJ		dep.luizlima@camara.leg.br
Luiz Nishimori	PL	PR		dep.luiznishimori@camara.leg.br
Luiz Philippe de Orleans e Bragança	PSL	SP		dep.luizphilippedeorleansebraganca@camara.leg.br
Luiza Erundina	PSOL	SP		dep.luizaerundina@camara.leg.br
Luizão Goulart	REPUBLICANOS	PR		dep.luizaogoulart@camara.leg.br
Magda Mofatto	PL	GO		dep.magdamofatto@camara.leg.br
Major Fabiana	PSL	RJ		dep.majorfabiana@camara.leg.br
Mara Rocha	PSDB	AC		dep.mararocha@camara.leg.br
Marcel van Hattem	NOVO	RS		dep.marcelvanhattem@camara.leg.br
Marcelo Álvaro Antônio	PSL	MG		dep.marceloalvaroantonio@camara.leg.br
Marcelo Aro	PP	MG		dep.marceloaro@camara.leg.br
Marcelo Brum	PSL	RS		dep.marcelobrum@camara.leg.br
Marcelo Freixo	PSOL	RJ		dep.marcelofreixo@camara.leg.br
Marcelo Moraes	PTB	RS		dep.marcelomoraes@camara.leg.br
Marcelo Nilo	PSB	BA		dep.marcelonilo@camara.leg.br
Marcelo Ramos	PL	AM		dep.marceloramos@camara.leg.br
Marcio Alvino	PL	SP		dep.marcioalvino@camara.leg.br
Márcio Biolchi	MDB	RS		dep.marciobiolchi@camara.leg.br
Márcio Labre	PSL	RJ		dep.marciolabre@camara.leg.br
Márcio Marinho	REPUBLICANOS	BA		dep.marciomarinho@camara.leg.br
Marco Bertaiolli	PSD	SP		dep.marcobertaiolli@camara.leg.br
Marcon	PT	RS		dep.marcon@camara.leg.br
Marcos Aurélio Sampaio	MDB	PI		dep.marcosaureliosampaio@camara.leg.br
Marcos Pereira	REPUBLICANOS	SP		dep.marcospereira@camara.leg.br
Marcos Soares	DEM	RJ		dep.marcossoares@camara.leg.br
Margarete Coelho	PP	PI		dep.margaretecoelho@camara.leg.br
Maria do Rosário	PT	RS		dep.mariadorosario@camara.leg.br
Maria Rosas	REPUBLICANOS	SP		dep.mariarosas@camara.leg.br
Mariana Carvalho	PSDB	RO		dep.marianacarvalho@camara.leg.br
Marília Arraes	PT	PE		dep.mariliaarraes@camara.leg.br
Marina Santos	SOLIDARIEDADE	PI		dep.marinasantos@camara.leg.br
Mário Heringer	PDT	MG		dep.marioheringer@camara.leg.br
Mário Negromonte Jr.	PP	BA		dep.marionegromontejr@camara.leg.br
Marlon Santos	PDT	RS		dep.marlonsantos@camara.leg.br
Marreca Filho	PATRIOTA	MA		dep.marrecafilho@camara.leg.br
Marx Beltrão	PSD	AL		dep.marxbeltrao@camara.leg.br
Maurício Dziedricki	PTB	RS		dep.mauriciodziedricki@camara.leg.br
Mauro Lopes	MDB	MG		dep.maurolopes@camara.leg.br
Mauro Nazif	PSB	RO		dep.mauronazif@camara.leg.br
Merlong Solano	PT	PI		dep.merlongsolano@camara.leg.br
Miguel Lombardi	PL	SP		dep.miguellombardi@camara.leg.br
Milton Coelho	PSB	PE		dep.miltoncoelho@camara.leg.br
Milton Vieira	REPUBLICANOS	SP		dep.miltonvieira@camara.leg.br
Misael Varella	PSD	MG		dep.misaelvarella@camara.leg.br
Moses Rodrigues	MDB	CE		dep.mosesrodrigues@camara.leg.br
Natália Bonavides	PT	RN		dep.nataliabonavides@camara.leg.br
Nelson Barbudo	PSL	MT		dep.nelsonbarbudo@camara.leg.br
Nereu Crispim	PSL	RS		dep.nereucrispim@camara.leg.br
Neri Geller	PP	MT		dep.nerigeller@camara.leg.br
Neucimar Fraga	PSD	ES		dep.neucimarfraga@camara.leg.br
Newton Cardoso Jr	MDB	MG		dep.newtoncardosojr@camara.leg.br
Nicoletti	PSL	RR		dep.nicoletti@camara.leg.br
Nilson Pinto	PSDB	PA		dep.nilsonpinto@camara.leg.br
Nilto Tatto	PT	SP		dep.niltotatto@camara.leg.br
Nivaldo Albuquerque	PTB	AL		dep.nivaldoalbuquerque@camara.leg.br
Norma Ayub	DEM	ES		dep.normaayub@camara.leg.br
Odair Cunha	PT	MG		dep.odaircunha@camara.leg.br
Olival Marques	DEM	PA		dep.olivalmarques@camara.leg.br
Orlando Silva	PCdoB	SP		dep.orlandosilva@camara.leg.br
Osires Damaso	PSC	TO		dep.osiresdamaso@camara.leg.br
Osmar Terra	MDB	RS		dep.osmarterra@camara.leg.br
Ossesio Silva	REPUBLICANOS	PE		dep.ossesiosilva@camara.leg.br
Otavio Leite	PSDB	RJ		dep.otavioleite@camara.leg.br
Otoni de Paula	PSC	RJ		dep.otonidepaula@camara.leg.br
Ottaci Nascimento	SOLIDARIEDADE	RR		dep.ottacinascimento@camara.leg.br
Otto Alencar Filho	PSD	BA		dep.ottoalencarfilho@camara.leg.br
Padre João	PT	MG		dep.padrejoao@camara.leg.br
Pastor Eurico	PATRIOTA	PE		dep.pastoreurico@camara.leg.br
Pastor Gil	PL	MA		dep.pastorgil@camara.leg.br
Pastor Sargento Isidório	AVANTE	BA		dep.pastorsargentoisidorio@camara.leg.br
Patrus Ananias	PT	MG		dep.patrusananias@camara.leg.br
Paula Belmonte	CIDADANIA	DF		dep.paulabelmonte@camara.leg.br
Paulão	PT	AL		dep.paulao@camara.leg.br
Paulo Abi-Ackel	PSDB	MG		dep.pauloabiackel@camara.leg.br
Paulo Azi	DEM	BA		dep.pauloazi@camara.leg.br
Paulo Bengtson	PTB	PA		dep.paulobengtson@camara.leg.br
Paulo Eduardo Martins	PSC	PR		dep.pauloeduardomartins@camara.leg.br
Paulo Freire Costa	PL	SP		dep.paulofreirecosta@camara.leg.br
